Datum,Startzeit,Gegner
04.10.2025,19:30,Eisbären Bremerhaven
18.10.2025,19:30,VfL SparkassenStars Bochum
07.11.2025,20:00,RheinStars Köln
15.11.2025,19:30,GIESSEN 46ers
06.12.2025,19:30,Paderborn Baskets
18.12.2025,20:00,Bozic Estriche Knights Kirchheim
21.12.2025,18:00,SBB Baskets Wolmirstedt
10.01.2026,19:30,Nürnberg Falcons BC
25.01.2026,18:00,HAKRO Merlins Crailsheim
06.02.2026,20:00,EPG Baskets Koblenz
14.02.2026,19:30,Bayer Giants Leverkusen
06.03.2026,20:00,BBC Bayreuth
15.03.2026,18:00,BG Göttingen
28.03.2026,19:30,PS Karlsruhe LIONS
04.04.2026,19:30,Tigers Tübingen
18.04.2026,19:30,Artland Dragons
02.05.2026,19:30,Phoenix Hagen
