Datum,Startzeit,Gegner
08.08.2025,18:30,SC Paderborn 07
18.08.2025,18:00,Hertha BSC
22.08.2025,18:30,1. FC Nürnberg
14.09.2025,13:30,Fortuna Düsseldorf
28.09.2025,13:30,Eintracht Braunschweig
18.10.2025,13:00,SG Dynamo Dresden
31.10.2025,18:30,Holstein Kiel
22.11.2025,13:00,FC Schalke 04
05.12.2025,???,Hannover 96
19.12.2025,???,SV Elversberg
16.01.2026,???,Karlsruher SC
06.02.2026,???,VfL Bochum 1848
20.02.2026,???,1. FC Kaiserslautern
06.03.2026,???,Hertha BSC
20.03.2026,???,1. FC Magdeburg
10.04.2026,???,SpVgg Greuther Fürth
24.04.2026,???,DSC Arminia Bielefeld
08.05.2026,???,SV Darmstadt 98
