Datum,Startzeit,Gegner
08.08.2025,18:30,SC Paderborn 07
18.08.2025,18:00,Hertha BSC
22.08.2025,18:30,1. FC Nürnberg
14.09.2025,13:30,Fortuna Düsseldorf
28.09.2025,13:30,Eintracht Braunschweig
18.10.2025,13:00,SG Dynamo Dresden
31.10.2025,18:30,Holstein Kiel
22.11.2025,13:00,FC Schalke 04
05.12.2025,18:30,Hannover 96
21.12.2025,13:30,SV Elversberg
17.01.2026,13:00,Karlsruher SC
06.02.2026,18:30,VfL Bochum 1848
22.02.2026,13:30,1. FC Kaiserslautern
08.03.2026,13:30,Hertha BSC
22.03.2026,13:30,1. FC Magdeburg
10.04.2026,???,SpVgg Greuther Fürth
24.04.2026,???,DSC Arminia Bielefeld
08.05.2026,???,SV Darmstadt 98
